英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
beaver,海狸,海狸,ビーバー,Kastor,سمور,ቢቨር,qəribə,bábhar,kobras,Beaver,бабёр,бобър,bjór,bóbr,dabar,سگ ابی,bever,bæver,Biber,бобр,castor,Beaver,majava,beaver,beaver,თახვის,બીવર,Бивер,kastò,비버,beaver,bever,кемчет,castor,castor,bobr,ಬೀವರ್,castor,dabar,qûndûz,castorea,bebrs,beaver,bebras,beaver,castor,Beaver,kastur,बीव्हर,നീളം,memerang,Дабар,kawe,Beaver,বীবর,ဗီဗာဖျံ,beaver,beaver,i-beaver,बीवर,bever,ਬੀਵਰ,Castor,بوره,beever,bäver,faʻamaonia,беавер,beaver,බීවර්,kastoro,bobor,bober,bober,bìobhair,Beaver,duufaan,дандон,బొచ్చు,நீர்நாய்,สัตว์ชนิดหนึ่ง,kunduz,afanc,بیور,бобра,beaver,beaver,בונה,κάστορας,beaver,بيور,Hód,beaver,բժիշկ,onye na-akwa ákwà,castoro,ביווער,ऊदबिलाव,berang-berang,berang-berang,singing,beaver,cướp biển
bison,野牛,野牛,バイソン,bizon,الثور,ጎሽ,bison,bison,bison,bison,бізон,бизон,bison,bizon,bizon,بیسون,bison,bison,Bison,бизон,bison,Bison,biisoni,bizon,bison,bison,જંગલી,бисон,bizon,바이슨,bison,bizon,Бизон,Bisonte,Bisonte,bizon,ಕಾಡೆಮ್ಮೆ,bison,bizon,bison,bisontes excellentique,bizonu,bison,bizonas,Bësch,bizon,ombidia,bison,बायसन,ബൈസോൺ,bison,бизон,bison,bison,বাইসন,bison,nyuj qus,bison,i-bison,ज्यान,bison,ਬਿਸਨ,bisonte,بیزان,njuchi,bison,bison,бисон,bison,බයිසන්,bizono,bizón,bizon,bizon,bison,bison,qamiis,устухон,అడవిదున్న,பைசன்,วัวกระทิง,bizon,bison,جیل,зубр,Bizmon,Bizmon,בִּיזוֹן,βόνασος,bison,باشن,bölény,bison,Բիզոն,bison,bisonte,ביסאָן,बिजोन,bison,banteng,bison,bison,bison
bobcat,山猫,山貓,ボブキャット,ris,قط بري أمريكي,ቡቦት,bobcat,bobcat,bobcat,BOBCAT,рысь,американски рис,bobcat,ryś amerykański,bobcat,بابكات,bobcat,bobcat,Bobcat,рысь,lynx,bobcat,punailves,bobcat,បូបាត,bobcat,બોબકેટ,bobcat,bobcat,살쾡이,bobcat,bobcat,Bobcat,bobcat,bobcat,rys,ಬಾಬ್ಬಾಟ್,bobcat,ris,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,बॉबकॅट,ബോബ്ക്റ്റ്,bobcat,bobcat,bobcat,bobcat,বনবিড়ালবিশেষ,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,ਬੌਬਕੈਟ,lince,bobcat,bobcat,bobcat,bobcat,бобцат,bobcat,බොබ්කට්,bobcat,rys,RIS,RIS,gach cat,bobcat,bobcat,Бобокал,BOBCAT,பாப்கேட்,Bobcat,vaşak,bobcat,bobcat,бобкат,bobcat,bobcat,חֲתוּל הַבָּר,αγριόγατος,bobcat,بلڪوٽ,hiúz,bobcat,բալկատ,bobcat,lince rossa,bobcat,बनबिलाव,bobcat,bobcat,bobcat,bobcat,bobcat
buffalo,水牛,水牛,バッファロー,buall,جاموس,ጎሽ,buffalo,buffalo,pühvlid,bufalo,буйвал,бивол,Buffalo,bawół,bivolje,بوفالو,buffels,bøffel,Büffel,буйвол,buffle,buffalo,puhveli,buffalo,ក្របី,კამეჩების,ભેંસ,буффало,Buffalo,물소,buffalo,buffel,буйвол,búfalo,búfal,buvol,ಎಮ್ಮೆ,bufalini,bizon,gamêş,bubalus,bifeļu,ຄວາຍ,buivolai,Büffel,bivol,Buffalo,buflu,म्हैस,എരുമ,kerbau,бафало,buffalo,одос,মহিষ,ကြှဲ,twm,ibhokhwe,i-buffalo,भान्सा,bøffel,ਮੱਝ,búfalo,بفالو,njuchi,buffel,pafalo,бивоље,bufalo,මී හරක්,bubalo,byvol,bivol,bivol,buffalo,bupalo,gafka,буфлох,గేదె,எருமை,ควาย,bizon,buffalo,بھینس,буйвол,qo'tos,qo'tos,תְאוֹ,βουβάλι,ka buffalo,مينهن,bivaly,buffalo,բուֆալոն,buffalo,bufalo,בופלאָקס,भेंस,kebo,kerbau,kebo,efon,trâu
camel,骆驼,駱駝,キャメル,deve,جمل,ግመል,dəvə,camel,kaamel,gamelu,вярблюд,камила,úlfalda,wielbłąd,kamila,شتر,kameel,kamel,Kamel,верблюд,chameau,kamelyo,kameli,kamiel,អូដ្ឋ,აქლემი,ઊંટ,түйе,chamo,낙다,rãƙumi,kameel,төө,camelo,camell,velbloud,ಒಂಟೆ,cammellu,deva,hoştir,cameli,kamielis,camel,kupranugaris,Kamellen,cămilă,rameva,ġemel,उंट,ഒട്ടകം,unta,камила,kamera,тэмээ,উট,ကုလားအုပ်,tus ntxhuav,ikamela,ikamela,ऊल,kamel,ਊਠ,camelo,اونۍ,ngamera,kamel,kamela,Камила,kamele,ඔටුවා,kamelo,ťava,kamel,kamel,camel,kamelyo,geela,дандон,ఒంటె,ஒட்டக,อูฐ,deve,camel,اونٹ,верблюд,tuya,tuya,גָמָל,καμήλα,kāmelo,اٺ,teve,ngamera,ուղտը,camel,cammello,קעמל,ऊंट,onta,unta,unta,rakunmi,lạc đà
capybara,水豚,水豚,カピバラ,Capybara,كابيبارا,ካፒቢራ,capibara,capybara,capybara,Kapibara,капібара,капибара,capybara,kapibara,capybara,کپیرارا,Watervark,Kapivar,Capybara,водосвинка,capybara,capybara,Capybara,capybara,ខាប៊ឺរ៉ា,კაპიტარა,કેપેબરા,capibara,capybara,카피 바라,capybara,capybara,мам.экзамен,capibara,Capibara,capybara,ಕ್ಯಾಪಿಬರಾ,capybara,Kapibara,capybara,capybara,capybara,capybara,capybara,capabar,Capibara,capybara,capybara,कॅपेरा,കാപ്പിബറ,capybara,капибара,capybara,capybara,Capybara,capybara,capybara,capybara,capybara,कैपीबारा,Flodsvin,ਕੈਪੀਬਾਰ,Capivara,کیپبارا,capybara,capybara,capybara,цапибара,capybara,කැපියාරා,capybara,Kapybara,capybara,capybara,capybara,capybara,capybara,capybara,లేనివారు,காபிபாரா,capybara,Kapibara,capybara,کیپبارا,капібара,kepka,kepka,קביברה,capybara,hihihihihi,ڪيپبارا,capybara,capybara,կապույբա,capybara,capibara,קאַפּיבאַראַ,capybara,capybara,capybara,capybara,capybara,capybara
chameleon,变色龙,變色龍,カメレオン,kameleon,حرباء,እስስት,xameleon,chameleon,kameeleon,chameleon,хамелеон,хамелеон,kameleon,kameleon,kameleon,کلاه قرمزی,verkleurmannetjie,kamæleon,Chamäleon,хамелеон,caméléon,hunyango,kameleontti,chameleon,ឆ្មេញ,ქამელეონი,કાચંડો,хамелеон,Chameleon,카멜레온,yan kallo,kameleon,хамелеон,camaleón,camaleó,chameleón,ಊಸರವಳ್ಳಿ,camaleuni,kameleon,xemgîniyê,talpa,hameleons,chameleon,chameleonas,Chamäleon,cameleon,tana,chameleon,कावळा,ഓമല്ലോ,bunglon,камелеон,kaumera,хамелеон,বহুরুপী,ပုတ်သင်ညို,chameleon,kamele,chameleon,chameleon,kameleon,ਗਿਰਜਾਘਰ,camaleão,کلیمی,chameleon,kameleont,teine,камелеон,chameleon,චැමේලියොන්,kameleono,chameleón,kameleon,kameleon,chameleon,chameleon,chameleon,chameleon,ఊసరవెల్లి,பச்சோந்தியாக,กิ้งก่า,bukalemun,chameleon,گلی,хамелеон,xameleyon,xameleyon,זִקִית,χαμαιλέοντας,kāmele,گرين,kaméleon,chameleon,քամելեոն,chameleon,camaleonte,כאַמעלעאָן,गिरगिट,chameleon,bunglon,bungah,Kamẹra,con cắc kè
cheetah,猎豹,獵豹,チーター,gatopard,الفهد,አቦሸማኔ,Çita,cheetah,gepard,Cheetah,гепард,Гепард,blettatígur,gepard,gepard,یوزپلنگ,jagluiperd,gepard,Gepard,гепард,guépard,tsite,gepardi,cheetah,cheetah,cheetah,ચિત્તા,геапа,cheetah,치타,cheetah,cheetah,гепард,guepardo,guepard,Gepard,ಚಿರತೆ,guepardo,gepard,piling,cheetah,gepards,cheetah,Gepardas,géi,ghepard,cheetah,Cheetah,चित्ता,ചീറ്റപ്പുര,cheetah,гепард,cheetah,cheetah,চিতাবাঘ,ကျားသစ်ကြုတ်,cheetah,cheetah,i-cheetah,चीता,gepard,ਚੀਤਾ,guepardo,شیته,cheetah,gepard,cheetah,гепард,cheetah,ග්රේටා,gepardo,gepard,gepard,gepard,cheetah,cheetah,cheetah,хито,చిరుత,சீத்தா,เสือชีต้า,çita,cheetah,چیتا,гепард,gepard,gepard,בַּרדְלָס,γατόπαρδος,ulaula,چيٽ,gepárd,cheetah,Չեթա,cheetah,ghepardo,cheetah,चीता,cetah,Cheetah,cheetah,cheetah,con báo
chipmunk,花栗鼠,花栗鼠,多湿,Chipmunk,السنجاب,ቺፕቸር,çimdik,chipmunk,chipmunk,chipmunk,бурундук,североамериканска катерица,flísamerkja,wiewiórka,veverica,توت فرنگی,Munk,jordegern,Streifenhörnchen,бурундук,chipmunk,tsipmunk,maaorava,chipmunk,chipmunk,chipmunk,ચિપમન્ક,бурундук,chipmunk,다람쥐,chipmunk,chipmunk,бурундук,chipmunk,xipmunk,chipmunk,ಚಿಪ್ಮಂಕ್,chipmunk,vjeverica,çerm,chipmunk,burundurs,chipmunk,burundukas,Chipmunk,veveriță,chipmunk,chipmunk,चीपमंक,ചിപ്പ്മാങ്ക്,chipmunk,североамериканска вештерка,Tuhinga o mua,chipmunk,কাঠবিড়ালবিশেষ,chipmunk,chipmunk,chipmunk,chipmunk,chipmunk,jordekorn,ਚਿਪਮੰਕ,Esquilo,چپ چپ,chipmunk,jordekorre,fhipmunk,веверица,chipmunk,සිප මස්,chipmunk,pruhovaná veverica,veverica,veverica,chipmunk,chipmunk,qaliin,chipmunk,chipmunk,செவ்வணில்,กระรอกชนิดหนึ่ง,çizgili sincap,chipmunk,chipmunk,бурундук,chiziq,chiziq,שבב,είδος σκίουρου,kaomi,چپڙي,észak-amerikai mókus,chipmunk,չիպմունք,chipmunk,chipmunk,chipmunk,चीपमक,chipmunk,chipmunk,tingkah,chipmunk,sóc chuột
chinchilla,栗鼠,栗鼠,チンチラ,chinchilla,الشنشيلة حيوان,chinchilla,şinşillə,chinchilla,šinšill,Chinchilla,шыншыла,чинчила,chinchilla,szynszyla,chinchilla,چينيشل,chinchilla,chinchilla,Chinchilla,шиншилла,chinchilla,chinchilla,tshintshilla,chinchilla,chinchilla,chinchilla,ચિનચિલા,шиншилла,Chinchilla,친칠라,chinchilla,chinchilla,Chinchilla,chinchilla,xinxilla,činčila,ಚಿಂಚಿಲ್ಲಾ,chinchilla,cincila,chinchilla,chinchilla,šinšillu,chinchilla,šinšila,chinchilla,Chinchilla,Chinchilla,ċinċilla,चिनचिला,ചിൻചില്ല,chinchilla,шиншила,chinchilla,chinchilla,Chinchilla,chinchilla,chinchilla,chinchilla,i-chinchilla,chinchilla,chinchilla,ਚਿਨਚਿਲਾ,chinchila,چینل,chinchilla,chinchilla,chinchilla,цхинцхилла,chinchilla,චිංචීයා,chinchilo,činčila,chinchilla,chinchilla,chinchilla,chinchilla,chinchilla,chinchilla,చిన్చిల్లా,சின்சில்லா,สัตว์ชนิดหนึ่ง,çinçilla,chinchilla,چنچیلا,шиншила,chinchilla,chinchilla,צ'ינצ'ילה,καλλίμαλο ζώο της Νότιας Αμερικής,ʻo chinchilla,chinchilla,csincsilla,chinchilla,շինչիլա,chinchilla,cincilla,טשינטשיללאַ,चिनचीला,chinchilla,chinchilla,chinchilla,chinchilla,súp chinchilla
clownfish,小丑鱼,小丑魚,クラウンフィッシュ,clownfish,سمكة المهرج,ዝርላፊሽ,clownfish,clownfish,clownfish,clownfish,клоўны,клоун,Clownfish,błazenek,klovnfish,clownfish,clown fish,klovnfisk,Clownfisch,клоуны,poisson clown,clownfish,clownfish,clownfish,ត្រីត្លុក,თევზი ჯამბაზი,ક્લોનફિશ,клонфиш,clownfish,흰 동가리,clownfish,clown vis,клоун балык,pez pallaso,pallasso,clownfish,ಕ್ಲೌನ್ ಮೀನು,pezzu di clownfish,riba klaun,kelek,familia Pomacentridarum,clownfish,clownfish,clownfish,Clownfish,clownfish,clownfish,Clownfish,क्लोन्फिश,ക്ലോൺ ഫിഷ്,ikan badut,кловски риби,pupuhi,clownfish,clownfish,clownfish,clownfish,clownfish,i-clownfish,क्लोनफिश,klovnefisk,ਕਲੋਨਫਿਸ਼,Peixe-palhaço,کلونفش,clownfish,clown fisk,sulu,цловнфисх,clownfish,ක්ලවුන්ෆි,pajaco,clownfish,klovn,klovn,clownfish,clownfish,shoobaan,гулӯлпараст,clownfish,கோமாளி மீன்,ปลาการ์ตูน,palyaço balığı,clownfish,کلاؤنفش,клоун-риба,klonfish,klonfish,דג ליצן,ΨΑΡΙ κλοουν,laulau,خوش قسمت,bohóchal,clownfish,clownfish,clownfish,pesce pagliaccio,clownfish,क्लाउनफ़िश,clownfish,ikan badut,clownfish,clownfish,cá hề
